iter	Passed	Remaining
667	9768	63350
668	9783	63336
669	9791	63280
670	9805	63260
671	9818	63234
672	9825	63174
673	9833	63118
674	9850	63112
675	9860	63074
676	9873	63045
677	9880	62985
678	9894	62968
679	9907	62944
680	9924	62939
681	9935	62906
682	9953	62913
683	9966	62885
684	9982	62881
685	9994	62850
686	10011	62852
687	10027	62849
688	10042	62834
689	10056	62816
690	10064	62759
691	10073	62711
692	10085	62683
693	10099	62661
694	10108	62616
695	10119	62579
696	10131	62550
697	10145	62530
698	10159	62512
699	10173	62494
700	10184	62461
701	10192	62406
702	10200	62348
703	10210	62307
704	10226	62299
705	10235	62256
706	10250	62245
707	10264	62221
708	10280	62219
709	10288	62165
710	10299	62132
711	10307	62073
712	10316	62030
713	10330	62009
714	10340	61967
715	10347	61910
716	10357	61870
717	10367	61832
718	10375	61779
719	10389	61760
720	10397	61707
721	10408	61675
722	10423	61663
723	10431	61610
724	10439	61558
725	10452	61535
726	10466	61517
727	10476	61480
728	10489	61455
729	10504	61442
730	10517	61423
731	10525	61372
732	10536	61335
733	10548	61310
734	10556	61254
735	10568	61228
736	10581	61208
737	10593	61179
738	10608	61170
739	10614	61106
740	10628	61090
741	10636	61040
742	10648	61010
743	10658	60973
744	10671	60950
745	10681	60911
746	10690	60866
747	10705	60856
748	10712	60801
749	10724	60769
750	10738	60754
751	10750	60730
752	10766	60723
753	10779	60703
754	10789	60663
755	10804	60653
756	10816	60626
757	10828	60598
758	10840	60574
759	10856	60570
760	10868	60541
761	10882	60522
762	10897	60515
763	10909	60485
764	10921	60459
765	10932	60426
766	10943	60396
767	10959	60391
768	10970	60359
769	10982	60334
770	10994	60304
771	11009	60297
772	11022	60273
773	11033	60244
774	11050	60241
775	11062	60215
776	11075	60193
777	11085	60157
778	11098	60138
779	11111	60113
780	11123	60088
781	11138	60078
782	11146	60030
783	11154	59983
784	11165	59950
785	11177	59924
786	11188	59894
787	11198	59858
788	11208	59823
789	11218	59786
790	11232	59770
791	11246	59753
792	11256	59717
793	11267	59687
794	11276	59645
795	11295	59654
796	11308	59636
797	11325	59637
798	11346	59655
799	11361	59648
800	11382	59667
801	11398	59666
802	11408	59627
803	11417	59589
804	11438	59610
805	11445	59558
806	11466	59580
807	11479	59554
808	11499	59570
809	11513	59555
810	11525	59533
811	11541	59526
812	11555	59511
813	11564	59469
814	11577	59448
815	11592	59437
816	11607	59431
817	11620	59410
818	11632	59385
819	11647	59376
820	11664	59372
821	11675	59341
822	11692	59341
823	11701	59302
824	11710	59264
825	11719	59221
826	11731	59194
827	11738	59148
828	11750	59119
829	11763	59103
830	11777	59085
831	11790	59064
832	11804	59048
833	11815	59022
834	11824	58981
835	11838	58967
836	11851	58945
837	11865	58930
838	11874	58892
839	11883	58850
840	11889	58795
841	11896	58747
842	11908	58725
843	11920	58697
844	11929	58661
845	11943	58646
846	11951	58602
847	11964	58579
848	11977	58559
849	11988	58533
850	11999	58504
851	12015	58497
852	12025	58465
853	12039	58449
854	12052	58430
855	12068	58425
856	12082	58409
857	12094	58384
858	12105	58355
859	12119	58341
860	12131	58317
861	12143	58296
862	12154	58267
863	12164	58232
864	12172	58189
865	12177	58132
866	12185	58087
867	12199	58074
868	12206	58028
869	12219	58009
870	12234	57996
871	12244	57965
872	12260	57961
873	12275	57951
874	12289	57936
875	12301	57910
876	12306	57857
877	12320	57841
878	12334	57827
879	12342	57784
880	12350	57743
881	12362	57719
882	12372	57685
883	12385	57669
884	12398	57650
885	12408	57618
886	12420	57592
887	12431	57564
888	12446	57554
889	12455	57520
890	12461	57467
891	12474	57447
892	12488	57435
893	12498	57401
894	12507	57367
895	12520	57347
896	12532	57324
897	12544	57300
898	12556	57277
899	12567	57251
900	12579	57229
901	12585	57180
902	12597	57156
903	12606	57121
904	12616	57086
905	12627	57058
906	12641	57046
907	12654	57028
908	12661	56985
909	12680	56992
910	12689	56958
911	12701	56934
912	12710	56898
913	12722	56874
914	12736	56859
915	12747	56835
916	12755	56793
917	12765	56761
918	12776	56735
919	12789	56716
920	12801	56695
921	12813	56675
922	12828	56664
923	12840	56642
924	12849	56608
925	12863	56592
926	12870	56551
927	12878	56509
928	12894	56503
929	12905	56480
930	12915	56446
931	12926	56423
932	12934	56382
933	12943	56349
934	12958	56338
935	12971	56319
936	12986	56313
937	12994	56272
938	13004	56240
939	13012	56202
940	13022	56172
941	13035	56156
942	13051	56151
943	13069	56154
944	13077	56117
945	13088	56090
946	13096	56049
947	13101	56000
948	13117	55995
949	13127	55962
950	13140	55947
951	13149	55912
952	13155	55865
953	13165	55835
954	13180	55826
955	13193	55811
956	13207	55796
957	13221	55782
958	13229	55746
959	13241	55724
960	13251	55695
961	13257	55648
962	13270	55633
963	13279	55595
964	13289	55566
965	13301	55545
966	13311	55519
967	13317	55471
968	13331	55458
969	13348	55456
970	13361	55440
971	13369	55402
972	13376	55363
973	13387	55335
974	13404	55335
975	13416	55313
976	13430	55301
977	13437	55262
978	13446	55227
979	13456	55199
980	13462	55152
981	13475	55136
982	13485	55107
983	13496	55081
984	13509	55064
985	13523	55053
986	13533	55025
987	13547	55012
988	13560	54997
989	13566	54952
990	13581	54941
991	13592	54919
992	13598	54874
993	13613	54864
994	13625	54844
995	13635	54816
996	13647	54794
997	13655	54758
998	13663	54720
999	13673	54693
1000	13686	54679
1001	13699	54660
1002	13715	54656
1003	13727	54637
1004	13738	54613
1005	13751	54597
1006	13763	54575
1007	13779	54571
1008	13792	54552
1009	13799	54515
1010	13808	54484
1011	13822	54471
1012	13832	54440
1013	13841	54410
1014	13852	54387
1015	13867	54378
1016	13879	54357
1017	13895	54351
1018	13904	54321
1019	13910	54277
1020	13926	54273
1021	13935	54242
1022	13947	54220
1023	13957	54192
1024	13972	54186
1025	13986	54173
1026	13995	54142
1027	14000	54096
1028	14013	54079
1029	14024	54055
1030	14034	54028
1031	14043	53998
1032	14054	53974
1033	14066	53954
1034	14082	53947
1035	14098	53943
1036	14105	53905
1037	14118	53890
1038	14131	53873
1039	14146	53864
1040	14149	53813
1041	14156	53772
1042	14175	53779
1043	14190	53771
1044	14203	53757
1045	14218	53746
1046	14249	53801
1047	14270	53814
1048	14288	53815
1049	14311	53837
1050	14323	53817
1051	14332	53787
1052	14344	53767
1053	14353	53735
1054	14369	53731
1055	14383	53719
1056	14395	53699
1057	14407	53681
1058	14419	53662
1059	14433	53649
1060	14446	53633
1061	14460	53620
1062	14471	53597
1063	14488	53594
1064	14500	53575
1065	14511	53552
1066	14521	53527
1067	14532	53501
1068	14545	53487
1069	14552	53450
1070	14566	53437
1071	14577	53414
1072	14585	53381
1073	14598	53363
1074	14608	53337
1075	14620	53317
1076	14633	53303
1077	14647	53291
1078	14662	53282
1079	14676	53271
1080	14686	53244
1081	14694	53209
1082	14712	53210
1083	14726	53201
1084	14740	53188
1085	14748	53153
1086	14761	53138
1087	14777	53133
1088	14790	53119
1089	14803	53101
1090	14812	53072
1091	14826	53060
1092	14829	53009
1093	14842	52994
1094	14850	52960
1095	14863	52943
1096	14874	52920
1097	14886	52902
1098	14894	52869
1099	14911	52869
1100	14924	52852
1101	14936	52833
1102	14947	52809
1103	14960	52796
1104	14970	52770
1105	14985	52761
1106	14997	52740
1107	15006	52713
1108	15025	52718
1109	15035	52692
1110	15042	52656
1111	15053	52634
1112	15063	52606
1113	15077	52593
1114	15088	52572
1115	15102	52560
1116	15116	52547
1117	15127	52527
1118	15138	52505
1119	15152	52491
1120	15163	52470
1121	15173	52443
1122	15189	52440
1123	15204	52432
1124	15220	52427
1125	15229	52396
1126	15237	52364
1127	15247	52340
1128	15259	52321
1129	15267	52289
1130	15280	52272
1131	15291	52250
1132	15302	52226
1133	15310	52195
1134	15322	52176
1135	15335	52163
1136	15344	52131
1137	15351	52099
1138	15361	52073
1139	15374	52058
1140	15384	52033
1141	15393	52004
1142	15407	51992
1143	15416	51964
1144	15428	51945
1145	15437	51917
1146	15448	51894
1147	15461	51878
1148	15471	51852
1149	15480	51827
1150	15495	51817
1151	15507	51797
1152	15517	51772
1153	15522	51732
1154	15536	51721
1155	15551	51712
1156	15565	51699
1157	15581	51696
1158	15598	51694
1159	15618	51703
1160	15625	51667
