iter	MAE
487	13866.8801
488	13857.92642
489	13850.02357
490	13838.9397
491	13825.34903
492	13812.79712
493	13806.47736
494	13793.15066
495	13776.09669
496	13769.98407
497	13756.36707
498	13737.37366
499	13729.42312
500	13719.61174
501	13708.8674
502	13696.56902
503	13682.77086
504	13671.49952
505	13655.70197
506	13643.04008
507	13630.95146
508	13620.11969
509	13606.56828
510	13596.46229
511	13582.56578
512	13573.02569
513	13552.30014
514	13539.02101
515	13529.78344
516	13510.64884
517	13499.87586
518	13483.24758
519	13473.07039
520	13461.69139
521	13444.555
522	13430.34577
523	13420.44861
524	13413.10049
525	13401.9258
526	13378.88548
527	13367.07648
528	13354.44313
529	13342.89217
530	13320.84992
531	13304.43255
532	13288.33615
533	13274.32692
534	13267.43228
535	13254.52443
536	13243.46488
537	13234.42105
538	13222.4439
539	13213.32197
540	13201.65281
541	13191.20044
542	13181.42632
543	13171.02351
544	13158.88396
545	13147.9108
546	13134.88098
547	13126.64621
548	13116.9338
549	13112.01257
550	13100.61421
551	13090.06631
552	13080.1734
553	13065.94452
554	13050.72123
555	13033.83995
556	13024.90856
557	13015.3752
558	13008.47062
559	13001.2424
560	12995.43768
561	12986.65628
562	12978.10631
563	12964.38678
564	12950.63007
565	12940.6559
566	12932.05385
567	12920.9033
568	12906.02617
569	12895.78676
570	12887.79083
571	12875.01808
572	12867.30554
573	12857.34759
574	12852.66234
575	12839.27513
576	12831.51701
577	12823.23441
578	12812.60481
579	12806.23228
580	12796.38784
581	12789.48721
582	12783.2823
583	12775.31451
584	12763.72825
585	12753.52429
586	12746.28798
587	12737.12719
588	12726.98106
589	12720.26215
590	12714.51246
591	12706.59968
592	12693.76772
593	12682.92724
594	12668.24431
595	12658.27622
596	12651.16077
597	12640.26283
598	12632.539
599	12624.04324
600	12615.07378
601	12605.99123
602	12587.15038
603	12577.47027
604	12566.32227
605	12551.87915
606	12535.83185
607	12528.39467
608	12521.72691
609	12512.28771
610	12505.53256
611	12499.74511
612	12489.39134
613	12485.47043
614	12473.72942
615	12466.38041
616	12460.43829
617	12452.04993
618	12439.44564
619	12433.21613
620	12425.91829
621	12415.8946
622	12408.24859
623	12391.63713
624	12385.3841
625	12374.99761
626	12363.40203
627	12351.90239
628	12342.73282
629	12337.83597
630	12330.27649
631	12319.84452
632	12305.92449
633	12300.63432
634	12295.7597
635	12282.19045
636	12276.92516
637	12268.26915
638	12260.28502
639	12257.20216
640	12253.1559
641	12242.14058
642	12232.16528
643	12218.89644
644	12213.60752
645	12203.11426
646	12189.06388
647	12183.64912
648	12175.98167
649	12169.68693
650	12160.66095
651	12152.89432
652	12141.57629
653	12136.53703
654	12128.82315
655	12122.24707
656	12117.80711
657	12106.3976
658	12092.42634
659	12082.24295
660	12070.44567
661	12061.91443
